"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
Class,,6842,1313664,1313664,0,0,0,0,0,6842,1313664,1313664,0
PatchClass,,520,24960,24960,0,0,0,0,0,520,24960,24960,0
Function,,43947,5625216,5625216,0,0,0,0,0,43947,5625216,5625216,0
TypeParameters,,1422,68256,68256,0,0,0,0,0,1422,68256,68256,0
ClosureData,,1130,54240,54240,0,0,0,0,0,1130,54240,54240,0
FfiTrampolineData,,61,2928,2928,0,0,0,0,0,61,2928,2928,0
Field,,17264,1933568,1933568,0,0,0,0,0,17264,1933568,1933568,0
Script,,1357,108560,108560,0,0,0,0,0,1357,108560,108560,0
Library,,1074,189024,189024,0,0,0,0,0,1074,189024,189024,0
Namespace,,8848,424704,424704,0,0,0,0,0,8848,424704,424704,0
KernelProgramInfo,,24,2688,2688,0,0,0,0,0,24,2688,2688,0
Code,,12161,2140336,2140336,0,0,0,0,0,12161,2140336,2140336,0
Instructions,,12161,8537776,8537776,0,0,0,0,0,12161,8537776,8537776,0
ObjectPool,,10874,1786048,1786048,0,0,0,0,0,10874,1786048,1786048,0
PcDescriptors,,10820,2039088,2039088,0,0,0,0,0,10820,2039088,2039088,0
CodeSourceMap,,10969,1452144,1452144,0,0,0,0,0,10969,1452144,1452144,0
CompressedStackMaps,,410,45904,45904,0,0,0,0,0,410,45904,45904,0
LocalVarDescriptors,,11,2128,2128,0,0,0,0,0,11,2128,2128,0
ExceptionHandlers,,110,5376,5376,0,0,0,0,0,110,5376,5376,0
Context,,3272,107248,107248,0,0,0,0,0,3272,107248,107248,0
ContextScope,,1072,110208,110208,0,0,0,0,0,1072,110208,110208,0
ICData,,49506,3168384,3168384,0,0,0,0,0,49506,3168384,3168384,0
MegamorphicCache,,295,14160,14160,0,0,0,0,0,295,14160,14160,0
SubtypeTestCache,,126,2016,2016,0,0,0,0,0,126,2016,2016,0
UnhandledException,,1,32,32,0,0,0,0,0,1,32,32,0
UnwindError,,1,32,32,0,0,0,0,0,1,32,32,0
Object,dart:core,15,240,240,0,0,0,0,0,15,240,240,0
_LibraryPrefix,dart:core,277,13296,13296,0,0,0,0,0,277,13296,13296,0
TypeArguments,,1942,100928,100928,0,0,0,0,0,1942,100928,100928,0
_Type,dart:core,8308,398784,398784,0,0,0,0,0,8308,398784,398784,0
_FunctionType,dart:core,23233,1858640,1858640,0,0,0,0,0,23233,1858640,1858640,0
_TypeRef,dart:core,26,1248,1248,0,0,0,0,0,26,1248,1248,0
_TypeParameter,dart:core,922,59008,59008,0,0,0,0,0,922,59008,59008,0
_Closure,dart:core,3430,219520,219520,0,0,0,0,0,3430,219520,219520,0
_Mint,dart:core,2,32,32,0,0,0,0,0,2,32,32,0
_Double,dart:core,2495,39920,39920,0,0,0,0,0,2495,39920,39920,0
Pointer,dart:ffi,61,1952,1952,0,0,0,0,0,61,1952,1952,0
_RawReceivePort,dart:isolate,1,48,48,0,0,0,0,0,1,48,48,0
_SendPort,dart:isolate,6,192,192,0,3,96,96,0,3,96,96,0
_StackTrace,dart:core,23,1104,1104,0,0,0,0,0,23,1104,1104,0
_SuspendState,dart:async,1,144,144,0,0,0,0,0,1,144,144,0
_RegExp,dart:core,1,128,128,0,0,0,0,0,1,128,128,0
_WeakProperty,dart:core,1851,59232,59232,0,0,0,0,0,1851,59232,59232,0
_UserTag,dart:developer,2,64,64,0,0,0,0,0,2,64,64,0
_Map,dart:collection,123,7872,7872,0,0,0,0,0,123,7872,7872,0
_ConstMap,dart:collection,24,1536,1536,0,0,0,0,0,24,1536,1536,0
_Set,dart:collection,37,2368,2368,0,0,0,0,0,37,2368,2368,0
_ConstSet,dart:collection,7,448,448,0,0,0,0,0,7,448,448,0
_List,dart:core,168499,20219568,20219568,0,12,1152,1152,0,168487,20218416,20218416,0
_ImmutableList,dart:core,1669,157264,157264,0,3,192,192,0,1666,157072,157072,0
_GrowableList,dart:core,12251,392032,392032,0,0,0,0,0,12251,392032,392032,0
_OneByteString,dart:core,83387,22042256,22042256,0,15,560,560,0,83372,22041696,22041696,0
_TwoByteString,dart:core,79,8725728,8725728,0,0,0,0,0,79,8725728,8725728,0
Int32,dart:ffi,1,16,16,0,0,0,0,0,1,16,16,0
Int64,dart:ffi,1,16,16,0,0,0,0,0,1,16,16,0
_Uint8List,dart:typed_data,9272,558032,558032,0,0,0,0,0,9272,558032,558032,0
_ExternalUint8Array,dart:typed_data,2528,80896,80896,0,0,0,0,0,2528,80896,80896,0
_Uint16List,dart:typed_data,1274,846320,846320,0,0,0,0,0,1274,846320,846320,0
_Int32List,dart:typed_data,20,3522464,3522464,0,0,0,0,0,20,3522464,3522464,0
_Uint32List,dart:typed_data,236,2892992,2892992,0,0,0,0,0,236,2892992,2892992,0
_Int64List,dart:typed_data,1161,37152,37152,0,0,0,0,0,1161,37152,37152,0
_Uint64List,dart:typed_data,23,99968,99968,0,0,0,0,0,23,99968,99968,0
_Float32List,dart:typed_data,24,7630384,7630384,0,0,0,0,0,24,7630384,7630384,0
_Float64List,dart:typed_data,146764,7047024,7047024,0,0,0,0,0,146764,7047024,7047024,0
_ByteDataView,dart:typed_data,11,528,528,0,0,0,0,0,11,528,528,0
_RegExpHashKey,dart:core,1,80,80,0,0,0,0,0,1,80,80,0
_RegExpHashValue,dart:core,1,32,32,0,0,0,0,0,1,32,32,0
Deprecated,dart:core,1,16,16,0,0,0,0,0,1,16,16,0
_Override,dart:core,1,16,16,0,0,0,0,0,1,16,16,0
pragma,dart:core,582,18624,18624,0,0,0,0,0,582,18624,18624,0
Duration,dart:core,19,304,304,0,0,0,0,0,19,304,304,0
